Repository,Total .drawio Count
api3dao,331
nicholasdille,170
api3dao1,135
drshahizan,112
odpi,106
nicholasdille2,102
wangzheng422,76
Altinn,63
azl397985856,59
dxos,56
nakamasato1,56
byui-cse,49
LivelyKernel,44
datamesh-architecture,43
norvig,39
graphcore,38
kyma-project,32
codeplaysoftware,31
jmix-framework,31
Bayer-Group,30
glinscott,28
OWASP,28
Mat-O-Lab,26
undergroundwires,26
TencentBlueKing,24
ThisisGame,23
tiangolo1,22
PdxCodeGuild,21
Rat-OS,21
elastisys,20
Seagate,20
alibaba,19
deuxfleurs-org,18
MichielVanwelsenaere,18
owncloud,18
apache,17
SumoLogic,17
aws-samples2,16
ShutdownRepo,16
tudelft3d,16
liuxinyu95,15
software-tools-books,14
gammasoft71,13
steedos,13
backstage,12
deeplang-org,12
opencybersecurityalliance,12
org-formation,12
overturetool,12
benjaminion,11
ChameleonCloud,11
cider-security-research,11
kyma-project1,11
tiangolo,11
Cpp4You,10
Embarcadero,10
Embarcadero1,10
iotaledger,10
karanpratapsingh,10
mrpmorris,10
wireapp,10
4paradigm,9
att,9
Flagsmith,9
PacktPublishing,9
reply-fr,9
syvita,9
ydb-platform,9
alkem-io,8
BBVA,8
maplibre,8
mar-file-system,8
nicolgit,8
SSWConsulting,8
apache2,7
mkipnis,7
retaildevcrews,7
alan-turing-institute,6
apache3,6
aws-solutions,6
bio-routing,6
bmwcarit,6
carltheperson,6
DUNE,6
hitobito,6
IBM,6
JanssenProject,6
micro-nova,6
microsoft2,6
port-labs,6
AFLplusplus,5
awslabs,5
BNUCNL,5
Josh-XT,5
jpetazzo,5
nasa,5
sandialabs,5
tier4,5
alimy,4
Altinn1,4
amplication,4
appwrite,4
arc42,4
Azure-Samples,4
bottlerocket-os,4
chenzomi12,4
ELS-RD,4
engula,4
ethereum,4
extrawurst,4
Fraunhofer-AISEC,4
INTO-CPS-Association,4
INTO-CPS-Association1,4
microsoft1,4
postmanlabs,4
rhdtownsend,4
rstudio,4
SAP-samples,4
Sensorino,4
strapdata,4
Tazinho,4
TraceNature,4
tweedegolf,4
undp,4
VNG-Realisatie,4
w3c,4
antvis,3
atlassian,3
avocado-framework,3
aws-samples,3
BeAnotherLab,3
clj-easy,3
espressif1,3
iobroker-community-adapters,3
microsoft,3
MuntashirAkon,3
NVIDIA,3
opensearch-project,3
PaulHatch,3
postmanlabs1,3
postmanlabs2,3
roc-streaming,3
rust-embedded,3
schubergphilis,3
SumoLogic1,3
TaylanTatli,3
trekhleb,3
vicanso,3
Voxelum,3
yeyushengfan258,3
accomdemy,2
autoai-org,2
aws-samples1,2
babashka,2
bigscience-workshop,2
bjerrep,2
Canardoux,2
cimug-org,2
citerus,2
codeforboston,2
congcoi123,2
cqframework,2
DRRP-Team,2
espressif,2
FIWARE,2
folbricht,2
Greenstand,2
gtuinsaat,2
hediet,2
IBM1,2
intel,2
laurent22,2
mgeb,2
mihailgaberov,2
mongodb-js,2
ngxs,2
novioleo,2
olegabu,2
OpenBCI,2
OpenCloudOS,2
OpenGammaProject,2
osisoft,2
philips-software,2
ProjectOpenSea,2
rysk-finance,2
salsa-rs,2
Shujing106,2
stackabletech,2
theowenyoung,2
tikv,2
tofu-tf,2
usnistgov,2
ahussam,1
algenty,1
amouiche,1
apache1,1
aws,1
baumrock,1
BCN3D,1
BretFisher,1
BrunoBonacci,1
Caesar2011,1
chartjs,1
Clevenio,1
cnrancher,1
cosmicpython,1
cremich,1
crra,1
DataSystemsGroupUT,1
dendronhq,1
df-map-archive,1
easyops-cn,1
eclipse-theia,1
EVerest,1
F-Secure,1
firecracker-microvm,1
foambubble,1
FuelLabs,1
google,1
gotev,1
GrowthcraftCE,1
HL7,1
Homebrew,1
ibissource,1
iqiyi,1
jakubg1,1
jetelain,1
kedro-org,1
knative,1
kubecub,1
llvm,1
Lofelt,1
mangrovedao,1
mayank-prasoon,1
metacall,1
MicrosoftDocs,1
mkpaz,1
mmorejon,1
mozilla,1
nakamasato,1
nin-jin,1
OpenResearchInstitute,1
pubkey,1
radiantearth,1
rancher,1
rancher1,1
roadtoagility,1
RomRider,1
rust-italia,1
siderolabs,1
status-im,1
suculent,1
syndesisio,1
synsense,1
TechPrimers,1
tiddly-gittly,1
TrueFiEng,1
TykTechnologies,1
Ultimaker,1
Unity-Technologies,1
voc,1
vtess,1
vuejs,1
zarkones,1
